Tanggal,Penetapan_Harga
2025-04-14,14260.0
2025-04-15,14177.0
2025-04-16,14100.0
2025-04-17,14225.0
2025-04-21,14001.0
2025-04-22,14401.0
2025-04-23,14501.0
2025-04-24,14488.0
2025-04-25,14470.0
2025-04-28,14006.0
2025-04-29,14000.0
2025-04-30,13900.0
2025-05-02,13891.0
2025-05-05,13500.0
2025-05-06,13316.0
2025-05-07,13130.0
2025-05-08,13100.0
2025-05-09,13150.0
2025-05-14,13422.0
2025-05-15,13373.0
2025-05-16,13211.0
2025-05-19,13256.0
2025-05-20,13350.0
2025-05-21,13400.0
2025-05-22,13350.0
2025-05-23,13361.0
2025-05-26,13125.0
2025-05-27,13180.0
2025-05-28,13315.0
2025-06-02,13331.0
2025-06-03,13386.0
2025-06-04,13385.0
2025-06-05,13343.0
2025-06-10,13328.0
2025-06-11,13145.0
2025-06-12,13225.0
2025-06-13,13360.0
2025-06-16,13600.0
2025-06-17,13600.0
2025-06-18,13615.0
2025-06-19,13677.0
2025-06-20,13655.0
2025-06-23,13730.0
2025-06-24,13415.0
2025-06-25,13500.0
2025-06-26,13550.0
2025-06-30,13550.0
2025-07-01,13575.0
2025-07-02,13700.0
2025-07-03,13800.0
2025-07-04,13850.0
2025-07-07,13900.0
2025-07-08,13975.0
2025-07-09,14100.0
2025-07-10,14100.0
2025-07-11,14200.0
2025-07-14,14245.0
2025-07-15,14250.0
2025-07-16,14350.0
2025-07-17,14360.0
2025-07-18,14555.0
2025-07-21,14576.0
2025-07-22,14550.0
2025-07-23,14666.0
2025-07-24,14625.0
2025-07-25,14525.0
2025-07-28,14494.0
2025-07-29,14575.0
2025-07-30,14625.0
